tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
79,-1.769701733585625e-02,3.652264616938642e-02,-580,1197,-1.770019531250000e-02,3.652954101562500e-02,4.059192383852823e-02,-3.177976643745084e-06,6.894846238579555e-06
80,-6.595471505795018e-02,-3.115526436549436e-02,-2161,-1021,-6.594848632812500e-02,-3.115844726562500e-02,7.293868442037890e-02,6.228729825183410e-06,-3.182900130644511e-06
81,7.286882530168109e-02,-7.456175123865016e-02,2388,-2443,7.287597656250000e-02,-7.455444335937500e-02,1.042558055197134e-01,7.151260818905048e-06,7.307879275164630e-06
82,4.670189144067988e-02,1.170488496284454e-01,1530,3835,4.669189453125000e-02,1.170349121093750e-01,1.260051731770030e-01,-9.996909429883793e-06,-1.393751907044494e-05
83,-1.350958516114644e-01,-8.649316034460279e-03,-4427,-283,-1.351013183593750e-01,-8.636474609375000e-03,1.353770841616836e-01,-5.466747910576331e-06,1.284142508527902e-05
84,6.442329743322436e-02,-1.146787660989562e-01,2111,-3758,6.442260742187500e-02,-1.146850585937500e-01,1.315406211467959e-01,-6.900113493635285e-07,-6.292494793821990e-06
85,6.734651184663629e-02,9.366509551109906e-02,2207,3069,6.735229492187500e-02,9.365844726562500e-02,1.153613296362827e-01,5.783075238713353e-06,-6.648245474055736e-06
86,-8.693462243715781e-02,2.015989229171924e-02,-2849,661,-8.694458007812500e-02,2.017211914062500e-02,8.925398812145628e-02,-9.957640967186987e-06,1.222684890575532e-05
87,2.459872064580718e-03,-5.751281762000729e-02,81,-1885,2.471923828125000e-03,-5.752563476562500e-02,5.757872057105937e-02,1.205176354428239e-05,-1.281714561771063e-05
88,3.154737028973625e-02,-5.665897850435671e-03,1034,-186,3.155517578125000e-02,-5.676269531250000e-03,3.206164615825245e-02,7.805491513745988e-06,-1.037168081432886e-05
89,2.950631032641156e-02,3.027719610994899e-02,967,992,2.951049804687500e-02,3.027343750000000e-02,4.227706840641886e-02,4.187720463441624e-06,-3.758609948986691e-06
90,-5.631747954401052e-02,4.382815928793730e-02,-1845,1436,-5.630493164062500e-02,4.382324218750000e-02,7.134929490106916e-02,1.254790338552081e-05,-4.917100437304422e-06
91,-3.032020760182459e-02,-9.274390072480466e-02,-994,-3039,-3.033447265625000e-02,-9.274291992187500e-02,9.757781216530784e-02,-1.426505442541151e-05,9.808029296648479e-07
92,1.149258846507918e-01,1.061152116550734e-02,3766,348,1.149291992187500e-01,1.062011718750000e-02,1.154188360803355e-01,3.314567958198622e-06,8.596021992657299e-06
93,-6.074861528249473e-02,1.067569159696065e-01,-1991,3498,-6.076049804687500e-02,1.067504882812500e-01,1.228312047941792e-01,-1.188276438027214e-05,-6.427688356458461e-06
94,-7.053695455383659e-02,-9.636940528704671e-02,-2311,-3158,-7.052612304687500e-02,-9.637451171875000e-02,1.194235342847064e-01,1.083150696158663e-05,-5.106431703288949e-06
95,1.033386299544653e-01,-2.451402455263050e-02,3386,-803,1.033325195312500e-01,-2.450561523437500e-02,1.061985629408016e-01,-6.110423215327510e-06,8.409318255495762e-06
96,-9.529883417451035e-03,8.508855106133321e-02,-312,2788,-9.521484375000000e-03,8.508300781250000e-02,8.561411614404078e-02,8.399042451034955e-06,-5.543248833214665e-06
97,-5.887287741749626e-02,-1.996847474171543e-02,-1929,-654,-5.886840820312500e-02,-1.995849609375000e-02,6.215972209312063e-02,4.469214371263797e-06,9.978647965432075e-06
98,1.140852193535804e-02,-4.360974917886896e-02,374,-1429,1.141357421875000e-02,-4.360961914062500e-02,4.507847111468268e-02,5.052283391961121e-06,1.300382439645142e-07
99,4.784594770674787e-02,-1.023307286982730e-04,1568,-3,4.785156250000000e-02,-9.155273437500000e-05,4.785165008225503e-02,5.614793252131656e-06,1.077799432327303e-05
100,-1.362863575054173e-03,6.559045976160263e-02,-45,2149,-1.373291015625000e-03,6.558227539062500e-02,6.559665215257082e-02,-1.042744057082670e-05,-8.184370977631916e-06
101,-8.192591946354069e-02,-2.146410249080738e-02,-2685,-703,-8.193969726562500e-02,-2.145385742187500e-02,8.470172363216946e-02,-1.377780208430823e-05,1.024506893238311e-05
102,5.334947097026559e-02,-8.365095268320315e-02,1748,-2741,5.334472656250000e-02,-8.364868164062500e-02,9.921069394093827e-02,-4.744407765586156e-06,2.271042578147475e-06
103,6.729511375554977e-02,8.387461051898351e-02,2205,2748,6.729125976562500e-02,8.386230468750000e-02,1.075220897692372e-01,-3.853989924765266e-06,-1.230583148351116e-05
104,-1.030124832234997e-01,3.939138336154242e-02,-3376,1291,-1.030273437500000e-01,3.939819335937500e-02,1.103034505360706e-01,-1.486052650025160e-05,6.809997832576964e-06
105,-9.793201134588148e-03,-1.094623683746665e-01,-321,-3587,-9.796142578125000e-03,-1.094665527343750e-01,1.099040061915791e-01,-2.941443536852439e-06,-4.184359708475638e-06
106,1.088110752989924e-01,1.624796897040887e-02,3566,532,1.088256835937500e-01,1.623535156250000e-02,1.100300688448615e-01,1.460829475763425e-05,-1.261740790886590e-05
107,-4.102303374179343e-02,1.063871577621146e-01,-1344,3486,-4.101562500000000e-02,1.063842773437500e-01,1.140170862638251e-01,7.408741793432649e-06,-2.880418364589743e-06
108,-1.009127823488982e-01,-7.019989655955201e-02,-3307,-2300,-1.009216308593750e-01,-7.019042968750000e-02,1.229303542459381e-01,-8.848510476833216e-06,9.466872052013575e-06
109,1.050383230951257e-01,-8.436577871575671e-02,3442,-2764,1.050415039062500e-01,-8.435058593750000e-02,1.347172553568633e-01,3.180811124325889e-06,1.519277825670629e-05
110,4.865256230359558e-02,1.374631106797199e-01,1594,4504,4.864501953125000e-02,1.374511718750000e-01,1.458052213571465e-01,-7.542772345575655e-06,-1.193880471989095e-05
111,-1.526057174974516e-01,-5.707226707713439e-03,-5001,-187,-1.526184082031250e-01,-5.706787109375000e-03,1.527250665135472e-01,-1.269070567344599e-05,4.395983384392066e-07
112,6.571356353178873e-02,-1.379655831935765e-01,2153,-4521,6.570434570312500e-02,-1.379699707031250e-01,1.528161439773198e-01,-9.217828663726779e-06,-4.387509548453572e-06
113,9.316974228675860e-02,1.107028355972007e-01,3053,3628,9.317016601562500e-02,1.107177734375000e-01,1.447035078715672e-01,4.237288663971883e-07,1.493784029929501e-05
114,-1.236862181041848e-01,3.318812436188986e-02,-4053,1088,-1.236877441406250e-01,3.320312500000000e-02,1.280668011639330e-01,-1.526036440227529e-06,1.500063811013530e-05
115,1.818914173741473e-02,-1.021193639508857e-01,596,-3346,1.818847656250000e-02,-1.021118164062500e-01,1.037190615530642e-01,-6.651749147289221e-07,7.547544635666537e-06
116,6.073474921970543e-02,4.131010745311989e-02,1990,1354,6.072998046875000e-02,4.132080078125000e-02,7.345433346602845e-02,-4.768750955425061e-06,1.069332813011248e-05
117,-3.211365842890563e-02,2.385975946657438e-02,-1052,782,-3.210449218750000e-02,2.386474609375000e-02,4.000280646075228e-02,9.166241405629549e-06,4.986627175615488e-06
118,-1.147472685228672e-02,-4.608448529683465e-03,-376,-151,-1.147460937500000e-02,-4.608154296875000e-03,1.236534456991173e-02,1.174772867231638e-07,2.942328084648560e-07
119,-1.758514735394951e-02,-2.756831238518368e-02,-576,-903,-1.757812500000000e-02,-2.755737304687500e-02,3.268637770938006e-02,7.022353949510951e-06,1.093933830868463e-05
120,5.816929538806258e-02,-1.560456697620631e-02,1906,-511,5.816650390625000e-02,-1.559448242187500e-02,6.022067799918866e-02,-2.791481812584873e-06,1.008455433130530e-05
121,-1.331063286140509e-02,8.039837146824476e-02,-436,2634,-1.330566406250000e-02,8.038330078125000e-02,8.147708721249804e-02,4.968798905092414e-06,-1.507068699475866e-05
122,-7.686087439675052e-02,-5.460558645800248e-02,-2519,-1789,-7.687377929687500e-02,-5.459594726562500e-02,9.428836302118918e-02,-1.290490012448298e-05,9.639192377480787e-06
123,8.598973437699856e-02,-4.628924833840786e-02,2818,-1517,8.599853515625000e-02,-4.629516601562500e-02,9.766775540287105e-02,8.800779251444402e-06,-5.917677217137651e-06
