freq_hz,h1_abs_db,h1_phase_rad,fir_abs_db,fir_phase_rad,total_abs_db,total_phase_rad,target_phase_rad,phase_error_rad,total_group_delay_ns
4389000000.000000,-1.254432430000e-01,2.142566637710e+00,1.385780840770e-01,1.656953468655e-01,1.313484107698e-02,-6.052359108722e+01,-6.052670946222e+01,3.118375004050e-03,1.051914313723e+01
4390000000.000000,-1.292691580000e-01,2.136042838854e+00,1.382002460461e-01,1.086543766006e-01,8.931088046147e-03,-6.058715585634e+01,-6.059346830611e+01,6.312449771997e-03,1.104994252863e+01
4391000000.000000,-1.245277820000e-01,2.117787680145e+00,1.378137580686e-01,5.161663134827e-02,1.328597606859e-02,-6.066244876030e+01,-6.066022715000e+01,-2.221610300644e-03,1.105752558878e+01
4392000000.000000,-1.430945870000e-01,2.111162874653e+00,1.374199957843e-01,-5.418623824771e-03,-5.674591215738e-03,-6.072610882097e+01,-6.072698599389e+01,8.771729231754e-04,1.067931823822e+01
4393000000.000000,-1.193759330000e-01,2.097656151397e+00,1.370206437019e-01,-6.245211079384e-02,1.764471070190e-02,-6.079664903119e+01,-6.079374483778e+01,-2.904193413151e-03,1.051895525863e+01
4394000000.000000,-1.334037760000e-01,2.093043696150e+00,1.366176876138e-01,-1.194845355776e-01,3.213911613804e-03,-6.085829391122e+01,-6.086050368167e+01,2.209770444921e-03,1.066305869449e+01
4395000000.000000,-1.396324910000e-01,2.077724678762e+00,1.362134041376e-01,-1.765165855964e-01,-3.419086862380e-03,-6.093064497863e+01,-6.092726252556e+01,-3.382453073186e-03,1.054825546730e+01
4396000000.000000,-1.306787610000e-01,2.074554800034e+00,1.358103473764e-01,-2.335489269986e-01,5.131586376406e-03,-6.099084719876e+01,-6.099402136945e+01,3.174170685483e-03,1.039499215138e+01
4397000000.000000,-1.365889720000e-01,2.061162971320e+00,1.354113327422e-01,-2.905822020620e-01,-1.177639257789e-03,-6.106127230254e+01,-6.106078021333e+01,-4.920892032274e-04,1.079532818604e+01
4398000000.000000,-1.193594160000e-01,2.052964804828e+00,1.350194179760e-01,-3.476170266820e-01,1.566000197596e-02,-6.112650529365e+01,-6.112753905722e+01,1.033763573574e-03,1.068091878457e+01
