freq_hz,h1_effective_abs_db,h1_effective_phase_rad,h1_effective_group_delay_ns,plan_c_effective_abs_db,plan_c_effective_phase_rad,plan_c_effective_group_delay_ns
4386840820.312500,-1.453907381786e-01,-1.040393525276e+01,1.270358637512e+00,1.061271349470e-01,-1.465092512906e+01,2.097198937841e+00
4387023925.781250,-1.474624866841e-01,-1.040538433762e+01,1.187577830553e+00,1.063276233252e-01,-1.465333463200e+01,2.209845265606e+00
4387207031.250000,-1.445926785430e-01,-1.040666783512e+01,1.115613715703e+00,1.057400481254e-01,-1.465600991934e+01,2.273262697477e+00
4387390136.718750,-1.417238182701e-01,-1.040795133263e+01,1.115613715703e+00,1.032261413997e-01,-1.465856534395e+01,1.958567201956e+00
4387573242.187500,-1.388559052395e-01,-1.040923483013e+01,1.115613715703e+00,1.048390239032e-01,-1.466051652602e+01,1.993489425957e+00
4387756347.656250,-1.359889388258e-01,-1.041051832764e+01,1.115613715703e+00,1.097257089640e-01,-1.466315230568e+01,2.116037568588e+00
4387939453.125000,-1.331229184044e-01,-1.041180182514e+01,1.358930137212e+00,1.111681361207e-01,-1.466538546749e+01,2.223583891513e+00
4388122558.593750,-1.313500611336e-01,-1.041364518672e+01,1.722450687272e+00,1.195582586760e-01,-1.466826870813e+01,3.039283469372e+00
4388305664.062500,-1.301170879127e-01,-1.041576513454e+01,1.842654815824e+00,1.137562168442e-01,-1.467237877117e+01,3.160753681173e+00
4388488769.531250,-1.288842896890e-01,-1.041788508235e+01,1.842654815827e+00,1.164486665080e-01,-1.467554151126e+01,2.812676772117e+00
4388671875.000000,-1.276516664130e-01,-1.042000503017e+01,1.842654815827e+00,1.132841387702e-01,-1.467885065936e+01,3.093084029862e+00
4388854980.468750,-1.264192180350e-01,-1.042212497798e+01,1.759001377889e+00,1.204387351626e-01,-1.468265860848e+01,2.824061064794e+00
4389038085.937500,-1.255889256944e-01,-1.042405244164e+01,1.356821387811e+00,1.152442762297e-01,-1.468534874249e+01,1.986484999287e+00
4389221191.406250,-1.262893573782e-01,-1.042524698489e+01,1.038294835668e+00,1.127690510478e-01,-1.468722945322e+01,2.128857779305e+00
4389404296.875000,-1.269898455494e-01,-1.042644152814e+01,1.038294835671e+00,1.165645200650e-01,-1.469024718289e+01,2.376325966735e+00
4389587402.343750,-1.276903902172e-01,-1.042763607139e+01,1.038294835671e+00,1.128718409822e-01,-1.469269731078e+01,2.078435379817e+00
4389770507.812500,-1.283909913908e-01,-1.042883061463e+01,1.038294835668e+00,1.176335914166e-01,-1.469502960280e+01,1.867963559058e+00
4389953613.281250,-1.290916490791e-01,-1.043002515788e+01,1.735346961992e+00,1.125778845304e-01,-1.469699544110e+01,2.706685991465e+00
4390136718.750000,-1.286207702426e-01,-1.043282359798e+01,2.668898916891e+00,1.125568229122e-01,-1.470125760927e+01,3.998031469884e+00
4390319824.218750,-1.277524695945e-01,-1.043616621738e+01,2.905398745463e+00,1.103519339178e-01,-1.470619479630e+01,3.928350768927e+00
4390502929.687500,-1.268842557389e-01,-1.043950883677e+01,2.905398745463e+00,1.140486776032e-01,-1.471029663118e+01,3.847504555475e+00
4390686035.156250,-1.260161286586e-01,-1.044285145616e+01,2.905398745463e+00,1.177893169674e-01,-1.471504779340e+01,4.126847470499e+00
4390869140.625000,-1.251480883362e-01,-1.044619407555e+01,2.641318721637e+00,1.120715771451e-01,-1.471979238828e+01,3.797230123857e+00
4391052246.093750,-1.254968430553e-01,-1.044892905442e+01,1.715804619444e+00,1.107189416854e-01,-1.472378511049e+01,2.776751583894e+00
