tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
125,2.792129866148119e-01,-1.583815721162563e-01,9149,-5190,2.792053222656250e-01,-1.583862304687500e-01,3.210012616541429e-01,-7.664349186919939e-06,-4.658352493747131e-06
126,-3.786043801586728e-02,4.101840088234817e-01,-1241,13441,-3.787231445312500e-02,4.101867675781250e-01,4.119314220816702e-01,-1.187643725772403e-05,2.758754643283901e-06
127,-3.618339521711166e-01,-2.883899442818595e-01,-11857,-9450,-3.618469238281250e-01,-2.883911132812500e-01,4.627122545421459e-01,-1.297165700842040e-05,-1.168999390510628e-06
128,4.434504366870434e-01,-1.492035339888247e-01,14531,-4889,4.434509277343750e-01,-1.492004394531250e-01,4.678776511455570e-01,4.910473315744568e-07,3.094535699688095e-06
129,-1.068412443513551e-01,4.136391813124882e-01,-3501,13554,-1.068420410156250e-01,4.136352539062500e-01,4.272111246239644e-01,-7.966642699142046e-07,-3.927406238168896e-06
130,-2.281289958613053e-01,-2.595765442915969e-01,-7475,-8506,-2.281188964843750e-01,-2.595825195312500e-01,3.455738927920348e-01,1.009937693030594e-05,-5.975239653122077e-06
131,2.328109467778832e-01,-1.416692812970832e-02,7629,-464,2.328186035156250e-01,-1.416015625000000e-02,2.332488202928157e-01,7.656737741779107e-06,6.771879708322714e-06
132,-8.798875915912562e-02,6.981230988615332e-02,-2883,2288,-8.798217773437500e-02,6.982421875000000e-02,1.123222378824915e-01,6.581424750615184e-06,1.190886384667966e-05
133,9.720655119702468e-02,-1.790693206861296e-02,3185,-587,9.719848632812500e-02,-1.791381835937500e-02,9.883547254246010e-02,-8.064868899676503e-06,-6.886290762040531e-06
134,-1.659075921811839e-01,1.361916725661933e-01,-5436,4463,-1.658935546875000e-01,1.361999511718750e-01,2.146417903999025e-01,1.403749368392160e-05,8.278605681699691e-06
135,-3.542087272583455e-03,-3.260963127684622e-01,-116,-10686,-3.540039062500000e-03,-3.261108398437500e-01,3.261300534145236e-01,2.048210083455126e-06,-1.452707528781794e-05
136,3.386578535726369e-01,2.269353531975836e-01,11097,7436,3.386535644531250e-01,2.269287109375000e-01,4.076553404097171e-01,-4.289119511891037e-06,-6.642260083622453e-06
137,-4.132023870445856e-01,1.758023688239612e-01,-13540,5761,-4.132080078125000e-01,1.758117675781250e-01,4.490552698046419e-01,-5.620767914438218e-06,9.398754163780776e-06
138,7.544833605758350e-02,-4.392891093090269e-01,2472,-14395,7.543945312500000e-02,-4.393005371093750e-01,4.457309423771076e-01,-8.882932583498260e-06,-1.142780034812940e-05
139,2.918552595390464e-01,2.708850248407024e-01,9564,8876,2.918701171875000e-01,2.708740234375000e-01,3.981970641281328e-01,1.485764845360338e-05,-1.100140320242637e-05
140,-3.043689682552903e-01,6.837739169146205e-02,-9974,2241,-3.043823242187500e-01,6.838989257812500e-02,3.119707946325356e-01,-1.335596345974910e-05,1.250088666295002e-05
141,8.817974631581442e-02,-1.773034285533676e-01,2889,-5810,8.816528320312500e-02,-1.773071289062500e-01,1.980175121631034e-01,-1.446311268941958e-05,-3.700352882440860e-06
142,-3.679378501111961e-03,8.445042306494695e-02,-121,2767,-3.692626953125000e-03,8.444213867187500e-02,8.452283879103395e-02,-1.324845201303854e-05,-8.284393071947282e-06
143,6.177575010157956e-02,-9.893494115262347e-02,2024,-3242,6.176757812500000e-02,-9.893798828125000e-02,1.166360117312348e-01,-8.171976579561535e-06,-3.047128626532114e-06
144,2.968193590444465e-02,2.343158626499444e-01,973,7678,2.969360351562500e-02,2.343139648437500e-01,2.361879425596092e-01,1.166761118034931e-05,-1.897806194417484e-06
145,-2.969727246314494e-01,-1.690528446031148e-01,-9731,-5540,-2.969665527343750e-01,-1.690673828125000e-01,3.417205193926855e-01,6.171897074414012e-06,-1.453820938523975e-05
146,3.714940642779995e-01,-1.851690322457975e-01,12173,-6068,3.714904785156250e-01,-1.851806640625000e-01,4.150868029345146e-01,-3.585762374469503e-06,-1.163181670249536e-05
147,-5.019037529528592e-02,4.447847286051634e-01,-1645,14575,-5.020141601562500e-02,4.447937011718750e-01,4.476177149891960e-01,-1.104072033908388e-05,8.972566711618057e-06
148,-3.374368006137147e-01,-2.757673450959428e-01,-11057,-9036,-3.374328613281250e-01,-2.757568359375000e-01,4.357783478677514e-01,3.939285589671382e-06,1.050915844280631e-05
149,3.637216514943916e-01,-1.136947394651153e-01,11918,-3726,3.637084960937500e-01,-1.137084960937500e-01,3.810688811943055e-01,-1.315540064161791e-05,-1.375662863474514e-05
150,-8.900032192499993e-02,2.759461008663820e-01,-2916,9042,-8.898925781250000e-02,2.759399414062500e-01,2.899343706242919e-01,1.106411249993111e-05,-6.159460132049155e-06
151,-8.857572880952717e-02,-1.510754536299558e-01,-2902,-4950,-8.856201171875000e-02,-1.510620117187500e-01,1.751084272791797e-01,1.371709077717387e-05,1.344191120583593e-05
