freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
3583000000.000000,1.876054412969,-36.875134754190,-3.147952724508,-40.023087478698,3.829699641,5.719056707,9.548756348,9.813229332
3584000000.000000,1.876578011744,-36.893794239356,-3.183879848068,-40.077674087424,3.691988755,5.716985522,9.408974277,9.813229332
3585000000.000000,1.877101610520,-36.921529653195,-3.219794483368,-40.141324136563,4.628746133,5.715083904,10.343830037,9.813229332
3586000000.000000,1.877625209295,-36.951960778742,-3.255697710494,-40.207658489236,3.984970468,5.713356172,9.698326640,9.813229332
3587000000.000000,1.878148808071,-36.971606268979,-3.291590634475,-40.263196903454,4.106172042,5.711805954,9.817977996,9.813229332
3588000000.000000,1.878672406847,-37.003560458434,-3.327474380983,-40.331034839417,4.323857413,5.710436195,10.034293608,9.813229332
3589000000.000000,1.879196005622,-37.025941463716,-3.363350092076,-40.389291555792,3.989575480,5.709249173,9.698824653,9.813229332
3590000000.000000,1.879719604398,-37.053694942507,-3.399218922027,-40.452913864534,4.178598963,5.708246505,9.886845468,9.813229332
3591000000.000000,1.880243203173,-37.078451286934,-3.435082033215,-40.513533320149,3.908160450,5.707429160,9.615589610,9.813229332
3592000000.000000,1.880766801949,-37.102806335136,-3.470940592102,-40.573746927238,4.048558372,5.706797473,9.755355845,9.813229332
3593000000.000000,1.881290400725,-37.129326971887,-3.506795765287,-40.636122737174,3.819280964,5.706351161,9.525632125,9.813229332
3594000000.000000,1.881813999500,-37.150800835206,-3.542648715652,-40.693449550858,3.610474606,5.706089332,9.316563938,9.813229332
3595000000.000000,1.882337598276,-37.174697533879,-3.578500598596,-40.753198132475,3.562459619,5.706010503,9.268470122,9.813229332
3596000000.000000,1.882861197051,-37.195568023076,-3.614352558367,-40.809920581443,4.317403104,5.706112616,10.023515720,9.813229332
3597000000.000000,1.883384795827,-37.228951621376,-3.650205724490,-40.879157345866,4.427093273,5.706393050,10.133486323,9.813229332
3598000000.000000,1.883908394603,-37.251200517885,-3.686061208303,-40.937261726188,3.717547788,5.706848644,9.424396432,9.813229332
3599000000.000000,1.884431993378,-37.275667704660,-3.721920099590,-40.997587804250,4.544521749,5.707475709,10.251997458,9.813229332
3600000000.000000,1.884955592154,-37.308308662454,-3.757783463329,-41.066092125783,3.480428702,5.708270046,9.188698748,9.813229332
3601000000.000000,1.885479190929,-37.319404061623,-3.793652336552,-41.113056398175,4.041857460,5.709226967,9.751084427,9.813229332
3602000000.000000,1.886002789705,-37.359100141267,-3.829527725316,-41.188627866583,4.571233056,5.710341311,10.281574367,9.813229332
3603000000.000000,1.886526388481,-37.376847870372,-3.865410601795,-41.242258472167,3.523716823,5.711607462,9.235324285,9.813229332
3604000000.000000,1.887049987256,-37.403380472806,-3.901301901488,-41.304682374294,4.425216149,5.713019372,10.138235521,9.813229332
3605000000.000000,1.887573586032,-37.432456776554,-3.937202520556,-41.369659297110,4.118450883,5.714570579,9.833021462,9.813229332
3606000000.000000,1.888097184807,-37.455134452956,-3.973113313280,-41.428247766236,3.608133406,5.716254223,9.324387629,9.813229332
3607000000.000000,1.888620783583,-37.477797918158,-4.009035089647,-41.486833007805,4.314537886,5.718063074,10.032600960,9.813229332
3608000000.000000,1.889144382359,-37.509352535055,-4.044968613065,-41.554321148120,4.453831989,5.719989548,10.173821537,9.813229332
3609000000.000000,1.889667981134,-37.533766421590,-4.080914598217,-41.614681019807,3.526726046,5.722025729,9.248751775,9.813229332
3610000000.000000,1.890191579910,-37.553670681602,-4.116873709041,-41.670544390643,4.029464490,5.724163391,9.753627881,9.813229332
3611000000.000000,1.890715178685,-37.584402165744,-4.152846556850,-41.737248722594,4.148227863,5.726394021,9.874621884,9.813229332
3612000000.000000,1.891238777461,-37.605798850322,-4.188833698596,-41.794632548918,3.124513138,5.728708839,8.853221977,9.813229332
3613000000.000000,1.891762376237,-37.623665955825,-4.224835635265,-41.848501591090,4.501666517,5.731098822,10.232765339,9.813229332
3614000000.000000,1.892285975012,-37.662368460158,-4.260852810420,-41.923221270578,5.048226490,5.733554726,10.781781216,9.813229332
3615000000.000000,1.892809573788,-37.687103840848,-4.296885608892,-41.983989449740,3.818049716,5.736067111,9.554116827,9.813229332
3616000000.000000,1.893333172563,-37.710347487910,-4.332934355604,-42.043281843514,3.872947687,5.738626361,9.611574048,9.813229332
3617000000.000000,1.893856771339,-37.735772736856,-4.368999314560,-42.104772051416,3.753377373,5.741222710,9.494600083,9.813229332
3618000000.000000,1.894380370115,-37.757513819034,-4.405080687961,-42.162594506995,4.105557946,5.743846266,9.849404212,9.813229332
3619000000.000000,1.894903968890,-37.787364699579,-4.441178615492,-42.228543315071,4.227429992,5.746487033,9.973917025,9.813229332
3620000000.000000,1.895427567666,-37.810637271063,-4.477293173742,-42.287930444805,4.053824344,5.749134934,9.802959278,9.813229332
3621000000.000000,1.895951166441,-37.838306558689,-4.513424375786,-42.351730934475,4.330814378,5.751779840,10.082594218,9.813229332
3622000000.000000,1.896474765217,-37.865059889604,-4.549572170909,-42.414632060513,4.001059332,5.754411590,9.755470922,9.813229332
3623000000.000000,1.896998363993,-37.888585353105,-4.585736444495,-42.474321797600,3.999459077,5.757020015,9.756479092,9.813229332
3624000000.000000,1.897521962768,-37.915318574623,-4.621917018049,-42.537235592672,3.893292932,5.759594963,9.652887895,9.813229332
3625000000.000000,1.898045561544,-37.937509914996,-4.658113649388,-42.595623564384,4.302865872,5.762126325,10.064992197,9.813229332
3626000000.000000,1.898569160319,-37.969389981878,-4.694326032972,-42.663716014850,3.859438638,5.764604055,9.624042693,9.813229332
3627000000.000000,1.899092759095,-37.986009051282,-4.730553800389,-42.716562851671,3.572452194,5.767018198,9.339470392,9.813229332
3628000000.000000,1.899616357871,-38.014282740149,-4.766796520985,-42.781079261134,3.804399530,5.769358909,9.573758439,9.813229332
3629000000.000000,1.900139956646,-38.033816545742,-4.803053702646,-42.836870248388,4.014393818,5.771616480,9.786010298,9.813229332
3630000000.000000,1.900663555422,-38.064729100652,-4.839324792721,-42.904053893373,4.640367737,5.773781362,10.414149099,9.813229332
3631000000.000000,1.901187154197,-38.092129126518,-4.875609179093,-42.967738305611,4.259409104,5.775844187,10.035253291,9.813229332
3632000000.000000,1.901710752973,-38.118254414046,-4.911906191380,-43.030160605426,4.195038281,5.777795787,9.972834068,9.813229332
3633000000.000000,1.902234351749,-38.144845532295,-4.948215102290,-43.093060634585,3.788374222,5.779627224,9.568001446,9.813229332
3634000000.000000,1.902757950524,-38.165860528549,-4.984535129094,-43.150395657643,4.300554003,5.781329803,10.081883806,9.813229332
