subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
928,20316,3719970703.125000,-1.171275991314e+02,1.171275991314e+02,-1.194964133491e+02,1.155316003770e+02,-1.113501511689e+02,1.062534091875e+02,1.000000000000e+00,-1.747329868292
929,20317,3720153808.593750,3.904253304380e+01,1.952126652190e+02,3.609760983662e+01,1.964435390838e+02,4.459105745816e+01,1.844653446104e+02,1.000000000000e+00,-1.753526298162
930,20318,3720336914.062500,3.904253304380e+01,3.904253304380e+01,3.860128551896e+01,3.971688578709e+01,4.486802832277e+01,2.864491639991e+01,1.000000000000e+00,-1.759721800154
931,20319,3720520019.531250,-2.732977313066e+02,-1.171275991314e+02,-2.725590268798e+02,-1.209700135163e+02,-2.667148078553e+02,-1.267918236547e+02,1.000000000000e+00,-1.765916381061
932,20320,3720703125.000000,-3.904253304380e+01,1.952126652190e+02,-4.137567990158e+01,1.952793334928e+02,-3.245321704670e+01,1.845608355337e+02,1.000000000000e+00,-1.772110047692
933,20321,3720886230.468750,1.952126652190e+02,3.904253304380e+01,1.952996049027e+02,4.108952487584e+01,2.009081431312e+02,2.818836972124e+01,1.000000000000e+00,-1.778302806876
934,20322,3721069335.937500,-1.952126652190e+02,-1.952126652190e+02,-1.938505676951e+02,-1.975011513933e+02,-1.890395199335e+02,-2.040325057940e+02,1.000000000000e+00,-1.784494665457
935,20323,3721252441.406250,-1.171275991314e+02,2.732977313066e+02,-1.201479975269e+02,2.728067330045e+02,-1.098318513775e+02,2.627566311410e+02,1.000000000000e+00,-1.790685630297
936,20324,3721435546.875000,-1.171275991314e+02,1.171275991314e+02,-1.186758730296e+02,1.161870613785e+02,-1.102549036001e+02,1.069999340332e+02,1.000000000000e+00,-1.796875708273
937,20325,3721618652.343750,1.171275991314e+02,1.952126652190e+02,1.152459867995e+02,1.970597105346e+02,1.233348728756e+02,1.847563682943e+02,1.000000000000e+00,-1.803064906279
938,20326,3721801757.812500,-3.904253304380e+01,1.171275991314e+02,-4.054613814211e+01,1.169927311443e+02,-3.248643500323e+01,1.069659592933e+02,1.000000000000e+00,-1.809253231223
939,20327,3721984863.281250,-1.171275991314e+02,-3.904253304380e+01,-1.169807109585e+02,-4.062510392056e+01,-1.101580797330e+02,-4.891813097782e+01,1.000000000000e+00,-1.815440690032
940,20328,3722167968.750000,-2.732977313066e+02,-2.732977313066e+02,-2.708241892548e+02,-2.773869735824e+02,-2.655082455458e+02,-2.827715816288e+02,1.000000000000e+00,-1.821627289642
941,20329,3722351074.218750,-2.732977313066e+02,-1.952126652190e+02,-2.718922384549e+02,-1.989021572546e+02,-2.656107427259e+02,-2.047513222019e+02,1.000000000000e+00,-1.827813037010
942,20330,3722534179.687500,-1.952126652190e+02,3.904253304380e+01,-1.962181336902e+02,3.706393109639e+01,-1.879518450679e+02,2.915204417226e+01,1.000000000000e+00,-1.833997939102
943,20331,3722717285.156250,-3.904253304380e+01,-1.171275991314e+02,-3.797758859223e+01,-1.178764839183e+02,-3.194179726912e+01,-1.263973783929e+02,1.000000000000e+00,-1.840182002902
944,20332,3722900390.625000,-1.952126652190e+02,-1.171275991314e+02,-1.946993199818e+02,-1.193326711247e+02,-1.876979221348e+02,-1.264230708982e+02,1.000000000000e+00,-1.846365235404
945,20333,3723083496.093750,2.732977313066e+02,-1.171275991314e+02,2.752925552018e+02,-1.150053919880e+02,2.798677130897e+02,-1.260645550256e+02,1.000000000000e+00,-1.852547643618
946,20334,3723266601.562500,3.904253304380e+01,-1.952126652190e+02,4.103057971253e+01,-1.956264818393e+02,4.636413316541e+01,-2.042012496012e+02,1.000000000000e+00,-1.858729234566
947,20335,3723449707.031250,-3.904253304380e+01,1.952126652190e+02,-4.109114429917e+01,1.957446922383e+02,-3.219248220259e+01,1.857289119280e+02,1.000000000000e+00,-1.864910015282
948,20336,3723632812.500000,-1.171275991314e+02,1.171275991314e+02,-1.188879459571e+02,1.166042832946e+02,-1.101400729411e+02,1.076326719317e+02,1.000000000000e+00,-1.871089992814
949,20337,3723815917.968750,-1.171275991314e+02,-3.904253304380e+01,-1.174335968002e+02,-4.043696093820e+01,-1.097385560603e+02,-4.853767368303e+01,1.000000000000e+00,-1.877269174220
950,20338,3723999023.437500,-1.171275991314e+02,-1.171275991314e+02,-1.167119816304e+02,-1.190811152380e+02,-1.094405376686e+02,-1.267346595360e+02,1.000000000000e+00,-1.883447566571
951,20339,3724182128.906250,1.952126652190e+02,3.904253304380e+01,1.961250848603e+02,4.112567854021e+01,2.027606075650e+02,3.073960320471e+01,1.000000000000e+00,-1.889625176948
952,20340,3724365234.375000,1.171275991314e+02,-3.904253304380e+01,1.182276794521e+02,-3.828931288276e+01,1.248948195012e+02,-4.765755163620e+01,1.000000000000e+00,-1.895802012444
953,20341,3724548339.843750,-2.732977313066e+02,-2.732977313066e+02,-2.729292809227e+02,-2.772194116117e+02,-2.652863512831e+02,-2.831282971826e+02,1.000000000000e+00,-1.901978080163
954,20342,3724731445.312500,-3.904253304380e+01,-3.904253304380e+01,-3.901851621156e+01,-3.957232285190e+01,-3.133598080798e+01,-4.794421249241e+01,1.000000000000e+00,-1.908153387218
955,20343,3724914550.781250,-3.904253304380e+01,-3.904253304380e+01,-3.904711787224e+01,-3.954185852020e+01,-3.128394649925e+01,-4.785912079910e+01,1.000000000000e+00,-1.914327940732
956,20344,3725097656.250000,-3.904253304380e+01,-1.171275991314e+02,-3.856863579078e+01,-1.181068654274e+02,-3.104329937372e+01,-1.259418543886e+02,1.000000000000e+00,-1.920501747839
957,20345,3725280761.718750,-1.171275991314e+02,-1.171275991314e+02,-1.170810728850e+02,-1.185948242127e+02,-1.090182486946e+02,-1.260882974443e+02,1.000000000000e+00,-1.926674815682
958,20346,3725463867.187500,1.952126652190e+02,-1.952126652190e+02,1.976709714590e+02,-1.950261510025e+02,2.038807537055e+02,-2.030868774585e+02,1.000000000000e+00,-1.932847151412
959,20347,3725646972.656250,1.171275991314e+02,-1.952126652190e+02,1.191636656591e+02,-1.954705582131e+02,1.259412947923e+02,-2.031572809033e+02,1.000000000000e+00,-1.939018762189
960,20348,3725830078.125000,-1.952126652190e+02,1.171275991314e+02,-1.971191023229e+02,1.163073180568e+02,-1.877272812151e+02,1.077989954596e+02,1.000000000000e+00,-1.945189655182
961,20349,3726013183.593750,1.171275991314e+02,-1.171275991314e+02,1.186148252671e+02,-1.168328888921e+02,1.258321978589e+02,-1.247060159131e+02,1.000000000000e+00,-1.951359837568
962,20350,3726196289.062500,-2.732977313066e+02,-1.952126652190e+02,-2.733912021619e+02,-1.979563843484e+02,-2.640574449753e+02,-2.046416892835e+02,1.000000000000e+00,-1.957529316530
963,20351,3726379394.531250,-2.732977313066e+02,-2.732977313066e+02,-2.731590610228e+02,-2.760916675454e+02,-2.637800139561e+02,-2.823880608182e+02,1.000000000000e+00,-1.963698099260
964,20352,3726562500.000000,1.171275991314e+02,-1.171275991314e+02,1.181799462047e+02,-1.171855727454e+02,1.257191839457e+02,-1.246906126755e+02,1.000000000000e+00,-1.969866192958
